Asset Name,Asset Code,Location Code,Category,Asset Description,Make,Model,Serial Number,Charge Department Code,Account Code,Supplier/Manufacturer Name,Supplier/Manufacturer Number,Manual RQD,Manual Found,Global,P&ID Doc Name,P&ID Page,P&ID Tag,Equipment,Equipment Voltage,Equipment Amps,Equipment Power,Equipment Fluid,Equipment Material of Construction,Equipment Diameter,Equipment Power Feed Location,Equipment Type,Lines,Line Fluid,Line Material of Construction,Line Diameter,Line From,Line To,Line Insulation,Line Design Pressure,Line Schedule,Line Flange Class,Valves,Valve Voltage,Valve Fluid,Valve Material of Construction,Valve Diameter,Valve Power Feed Location,Valve Seal Material,Valve Auto/Manual,Valve Type,Valve Actuator Type,Valve Connections Type,Valve Seat Material,Tanks,Tank Fluid,Tank Material of Construction,Tank Diameter,Tank Height,Tank Volume,Tank Working Volume,Tank Working Height,Tank Type,Instruments,Instrument Voltage,Instrument Fluid,Instrument Connection Type,Instrument Power Feed Location,Instrument Type,Instrument Wire Count,Instrument Analog/Digital,Instrument Mount Detail,Panels,Panels Voltage,Panels Amps,Panels Power Feed Location,Panel Type,Permits,Permit Number,Permit Description,Permit Title,Permit Permitting Body,Permit Plant Area,Permit Revision Number,Permit Expiry,Packages,Package Voltage,Package Amps,Package Power,Package Power Feed Location,*Any Custom Fields*,Notes,Unspc Code,Barcode,Facility Latitude,Facility Longitude,Facility Street Address,Facility City,Facility Postal Code,Facility Province,Facility Country,User/User Group name/Personnel Code,Calibration Needed,Aisle,Row,Bin,Low-level asset codes
12 Inch Stainless Steel Biogas Line 1320_07,CNC2-1300-BG-12_AS30_GB_1320_07,C2NC-1300-BG,Lines,12 Inch Stainless Steel Biogas Line,,,,,,,,,,,,D0-5,12_AS30_GB_1320_07,,,,,,,,,,,Biogas,Stainless Steel,12 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Inch Stainless Steel Biogas Line 1330_06,CNC2-1300-BG-12_AS30_GB_1330_06,C2NC-1300-BG,Lines,12 Inch Stainless Steel Biogas Line,,,,,,,,,,,,D0-6,12_AS30_GB_1330_06,,,,,,,,,,,Biogas,Stainless Steel,12 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Inch Stainless Steel Biogas Line 02,CNC2-1300-BG-16_AS30_GB_1300_02,C2NC-1300-BG,Lines,16 Inch Stainless Steel Biogas Line,,,,,,,,,,,,D0-7,16_AS30_GB_1300_02,,,,,,,,,,,Biogas,Stainless Steel,16 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Inch PVC Digestate Line 1310_08,CNC2-1300-DG-4_AC30_ED_1310_08,C2NC-1300-DG,Lines,4 Inch PVC Digestate Line,,,,,,,,,,,,D0-10,4_AC30_ED_1310_08,,,,,,,,,,,Digestate,PVC,4 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Inch PVC Digestate Line 1320_08,CNC2-1300-DG-4_AC30_ED_1320_08,C2NC-1300-DG,Lines,4 Inch PVC Digestate Line,,,,,,,,,,,,D0-10,4_AC30_ED_1320_08,,,,,,,,,,,Digestate,PVC,4 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Inch PVC Digestate Line 1330_08,CNC2-1300-DG-4_AC30_ED_1330_08,C2NC-1300-DG,Lines,4 Inch PVC Digestate Line,,,,,,,,,,,,D0-10,4_AC30_ED_1330_08,,,,,,,,,,,Digestate,PVC,4 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Inch PVC Digestate Line 1310_08,CNC2-1300-DG-6_AC30_ED_1310_08,C2NC-1300-DG,Lines,6 Inch PVC Digestate Line,,,,,,,,,,,,D0-10,6_AC30_ED_1310_08,,,,,,,,,,,Digestate,PVC,6 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Inch PVC Digestate Line 1320_08,CNC2-1300-DG-6_AC30_ED_1320_08,C2NC-1300-DG,Lines,6 Inch PVC Digestate Line,,,,,,,,,,,,D0-10,6_AC30_ED_1320_08,,,,,,,,,,,Digestate,PVC,6 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Inch PVC Digestate Line 1330_08,CNC2-1300-DG-6_AC30_ED_1330_08,C2NC-1300-DG,Lines,6 Inch PVC Digestate Line,,,,,,,,,,,,D0-10,6_AC30_ED_1330_08,,,,,,,,,,,Digestate,PVC,6 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Inch Carbon Steel Digestate Line 1310_08,CNC2-1300-DG-6_AE30RT_ED_1310_08,C2NC-1300-DG,Lines,6 Inch Carbon Steel Digestate Line,,,,,,,,,,,,D0-4,6_AE30RT_ED_1310_08,,,,,,,,,,,Digestate,Carbon Steel,6 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Inch Carbon Steel Digestate Line 1320_08,CNC2-1300-DG-6_AE30RT_ED_1320_08,C2NC-1300-DG,Lines,6 Inch Carbon Steel Digestate Line,,,,,,,,,,,,D0-5,6_AE30RT_ED_1320_08,,,,,,,,,,,Digestate,Carbon Steel,6 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Inch Carbon Steel Digestate Line 1330_08,CNC2-1300-DG-6_AE30RT_ED_1330_08,C2NC-1300-DG,Lines,6 Inch Carbon Steel Digestate Line,,,,,,,,,,,,D0-6,6_AE30RT_ED_1330_08,,,,,,,,,,,Digestate,Carbon Steel,6 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Inch PVC Digestate Line 1310_09,CNC2-1300-DG-8_AC30_ED_1310_09,C2NC-1300-DG,Lines,8 Inch PVC Digestate Line,,,,,,,,,,,,D0-4,8_AC30_ED_1310_09,,,,,,,,,,,Digestate,PVC,8 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Inch PVC Digestate Line 1320_09,CNC2-1300-DG-8_AC30_ED_1320_09,C2NC-1300-DG,Lines,8 Inch PVC Digestate Line,,,,,,,,,,,,D0-5,8_AC30_ED_1320_09,,,,,,,,,,,Digestate,PVC,8 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Inch PVC Digestate Line 1330_09,CNC2-1300-DG-8_AC30_ED_1330_09,C2NC-1300-DG,Lines,8 Inch PVC Digestate Line,,,,,,,,,,,,D0-6,8_AC30_ED_1330_09,,,,,,,,,,,Digestate,PVC,8 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Inch Carbon Steel Digestate Line 1310_09,CNC2-1300-DG-8_AE30RT_ED_1310_09,C2NC-1300-DG,Lines,8 Inch Carbon Steel Digestate Line,,,,,,,,,,,,D0-4,8_AE30RT_ED_1310_09,,,,,,,,,,,Digestate,Carbon Steel,8 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Inch Carbon Steel Digestate Line 1320_09,CNC2-1300-DG-8_AE30RT_ED_1320_09,C2NC-1300-DG,Lines,8 Inch Carbon Steel Digestate Line,,,,,,,,,,,,D0-5,8_AE30RT_ED_1320_09,,,,,,,,,,,Digestate,Carbon Steel,8 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Inch Carbon Steel Digestate Line 1330_09,CNC2-1300-DG-8_AE30RT_ED_1330_09,C2NC-1300-DG,Lines,8 Inch Carbon Steel Digestate Line,,,,,,,,,,,,D0-6,8_AE30RT_ED_1330_09,,,,,,,,,,,Digestate,Carbon Steel,8 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Inch Stainless Steel Biogas Line 1310_03,CNC2-1300-BG-8_AS30_GB_1310_03,C2NC-1300-BG,Lines,8 Inch Stainless Steel Biogas Line,,,,,,,,,,,,D0-4,8_AS30_GB_1310_03,,,,,,,,,,,Biogas,Stainless Steel,8 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Inch Stainless Steel Biogas Line 1310_04,CNC2-1300-BG-8_AS30_GB_1310_04,C2NC-1300-BG,Lines,8 Inch Stainless Steel Biogas Line,,,,,,,,,,,,D0-4,8_AS30_GB_1310_04,,,,,,,,,,,Biogas,Stainless Steel,8 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Inch Stainless Steel Biogas Line 1310_05,CNC2-1300-BG-8_AS30_GB_1310_05,C2NC-1300-BG,Lines,8 Inch Stainless Steel Biogas Line,,,,,,,,,,,,D0-4,8_AS30_GB_1310_05,,,,,,,,,,,Biogas,Stainless Steel,8 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Inch Stainless Steel Biogas Line 1320_03,CNC2-1300-BG-8_AS30_GB_1320_03,C2NC-1300-BG,Lines,8 Inch Stainless Steel Biogas Line,,,,,,,,,,,,D0-5,8_AS30_GB_1320_03,,,,,,,,,,,Biogas,Stainless Steel,8 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Inch Stainless Steel Biogas Line 1320_04,CNC2-1300-BG-8_AS30_GB_1320_04,C2NC-1300-BG,Lines,8 Inch Stainless Steel Biogas Line,,,,,,,,,,,,D0-5,8_AS30_GB_1320_04,,,,,,,,,,,Biogas,Stainless Steel,8 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Inch Stainless Steel Biogas Line 1320_05,CNC2-1300-BG-8_AS30_GB_1320_05,C2NC-1300-BG,Lines,8 Inch Stainless Steel Biogas Line,,,,,,,,,,,,D0-5,8_AS30_GB_1320_05,,,,,,,,,,,Biogas,Stainless Steel,8 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 1 - Membrane - Blower - Pressure Safety Valve - 01A,C2NC-1300-100-PSV_41201A,C2NC-1300-100,Valves,Membrane Blower Pressure Regulator Valve,,,,,,,,,,,,D-04,PSV_41201A,,,,,,,,,,,,,,,,,,,,,,AU,,10,,,Manual,Pressure Regulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Inch Stainless Steel Biogas Line 1330_03,CNC2-1300-BG-8_AS30_GB_1330_03,C2NC-1300-BG,Lines,8 Inch Stainless Steel Biogas Line,,,,,,,,,,,,D0-6,8_AS30_GB_1330_03,,,,,,,,,,,Biogas,Stainless Steel,8 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Inch Stainless Steel Biogas Line 1330_04,CNC2-1300-BG-8_AS30_GB_1330_04,C2NC-1300-BG,Lines,8 Inch Stainless Steel Biogas Line,,,,,,,,,,,,D0-6,8_AS30_GB_1330_04,,,,,,,,,,,Biogas,Stainless Steel,8 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Inch Stainless Steel Biogas Line 1330_05,CNC2-1300-BG-8_AS30_GB_1330_05,C2NC-1300-BG,Lines,8 Inch Stainless Steel Biogas Line,,,,,,,,,,,,D0-6,8_AS30_GB_1330_05,,,,,,,,,,,Biogas,Stainless Steel,8 inch,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Level - Indicating - Transmitter - 21101,C2NC-1200-050-LIT_21101,C2NC-1200-050,Instruments,Level transmitter for FCON tank (at bottom) - Instruments,,,,,,,,Y,,Analog,,D-01,LIT_21101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,0,,Level Indicating Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Level - Sensor - 21102,C2NC-1200-050-LIT_21102,C2NC-1200-050,Instruments,Level sensor for FCON tank (ultrasonic) - Instruments,,,,,,,,Y,,Analog,,D-01,LIT_21102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,0,,Level Sensor,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Level - High - High - Switch - 21101,C2NC-1200-050-LSHH_21101,C2NC-1200-050,Instruments,Level switch for FCON tank (at top) - Instruments,,,,,,,,Y,,Digital,,D-01,LSHH_21101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,0,,Level High High Switch,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Pressure - Indicating - Transmitter - 21101,C2NC-1200-050-PIT_21101,C2NC-1200-050,Instruments,Pressure transmitter for biogas line from FCON - Instruments,,,,,,,,Y,,Analog,,D-01,PIT_21101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG,0,,Pressure Indicating Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Temperature - Indicating - Transmitter - 21101,C2NC-1200-050-TIT_21101,C2NC-1200-050,Instruments,Temperature transmitter for FCON tank with thermowell - Instruments,,,,,,,,Y,,Analog,,D-01,TIT_21101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,0,,Temperature Indicating Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Temperature - Indicating - Transmitter - 21102,C2NC-1200-050-TIT_21102,C2NC-1200-050,Instruments,Second temperature transmitter for FCON tank with thermowell - Instruments,,,,,,,,Y,,Analog,,D-01,TIT_21102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,0,,Temperature Indicating Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Thermowell - 21101,C2NC-1200-050-TW_21101,C2NC-1200-050,Instruments,Thermowell - Instruments,,,,,,,,Y,,Analog,,D-01,TW_21101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,0,,Temperature Indicating Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Thermowell - 21102,C2NC-1200-050-TW_21102,C2NC-1200-050,Instruments,Thermowell - Instruments,,,,,,,,Y,,Analog,,D-01,TW_21102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,0,,Temperature Indicating Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biogas - Piping - Flow - Sensor - 41201,C2NC-1300-BG-FE_41201,C2NC-1300-BG,Instruments,Flow sensor associated with condensate trap - Instruments,,,,,,,,Y,,Analog,,D-07,FE_41201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG,0,,Flow Sensor,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biogas - Piping - Flow - Indicating - Transmitter - 41203,C2NC-1300-BG-FIT_41203,C2NC-1300-BG,Instruments,FIT associated with condensate trap - Instruments,,,,,,,,Y,,Analog,,D-07,FIT_41203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG,"1/2"" GAS-F",,Flow Indicating Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Flow - Sensor - 44201A,C2NC-1300-100-FE_44201A,C2NC-1300-100,Instruments,FE on DFS stream prior to FCON HX - Instruments,,,,,,,,Y,,Analog,,D-02,FE_44201A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,0,,Flow Sensor,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - Feed - Pumps - Flow - Indicating - Transmitter - 41201A,C2NC-1300-100-FIT_41201A,C2NC-1300-100,Instruments,Flow transmitter on feed line from FCON to AD - Instruments,,,,,,,,Y,,Analog,,D-03,FIT_41201A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,0,,Flow Indicating Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biogas - Piping - Flow - Indicating - Transmitter - 41202A,C2NC-1300-100-FIT_41202A,C2NC-1300-100,Instruments,FIT on AD BG line - Instruments,,,,,,,,Y,,Analog,,D-07,FIT_41202A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG,"1/4"" GAS-F",,Flow Indicating Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - Discharge - Pumps - Flow - Indicating - Transmitter - 41204A,C2NC-1300-100-FIT_41204A,C2NC-1300-100,Instruments,Flow transmitter for discharge from AD - Instruments,,,,,,,,Y,,Analog,,D-10,FIT_41204A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DGT,"1/4"" GAS-F",,Flow Indicating Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Flow - Indicating - Transmitter - 44201A,C2NC-1300-100-FIT_44201A,C2NC-1300-100,Instruments,FIT on DFS stream prior to FCON HX - Instruments,,,,,,,,Y,,Analog,,D-02,FIT_44201A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,0,,Flow Indicating Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Flow - Indicating - Transmitter - 44202A,C2NC-1300-100-FIT_44202A,C2NC-1300-100,Instruments,FIT on DFS stream prior to FCON HX - Instruments,,,,,,,,Y,,Analog,,D-02,FIT_44202A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,0,,Flow Indicating Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 1 - Level - Transmitter - 41201A,C2NC-1300-100-LIT_41201A,C2NC-1300-100,Instruments,"LT for AD tank, linked to LE - Instruments",,,,,,,,Y,,Analog,,D-04,LIT_41201A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DGT,"1/2"" GAS-F",,Level Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 1 - Level - Indicating - Transmitter - 41202A,C2NC-1300-100-LIT_41202A,C2NC-1300-100,Instruments,Level transmitter for AD tank - Instruments,,,,,,,,Y,,Analog,,D-04,LIT_41202A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DGT,0,,Level Indicating Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 1 - Level - Transmitter - 41203A,C2NC-1300-100-LIT_41203A,C2NC-1300-100,Instruments,Level Transmitter for AD tank - Instruments,,,,,,,,Y,,Analog,,D-04,LIT_41203A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DGT,0,,Level Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 1 - Level - High - High - Switch - 41201A,C2NC-1300-100-LSHH_41201A,C2NC-1300-100,Instruments,Level switch for AD tank (at top) - Instruments,,,,,,,,Y,,Digital,,D-04,LSHH_41201A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DGT,0,,Level High High Switch,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - Feed - Pumps - Pressure - Indicator - 41201A,C2NC-1300-100-PI_41201A,C2NC-1300-100,Instruments,PI prior to substrate pump to AD - Instruments,,,,,,,,Y,,Analog,,D-03,PI_41201A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,0,,Pressure Indicator,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - Feed - Pumps - Pressure - Indicator - 41202A,C2NC-1300-100-PI_41202A,C2NC-1300-100,Instruments,"PI on DFS stream exiting substrate pump, going to AD - Instruments",,,,,,,,Y,,Analog,,D-03,PI_41202A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,"1 1/2"" GAS-F",,Pressure Indicator,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 1 - Pressure - Indicator - 41203A,C2NC-1300-100-PI_41203A,C2NC-1300-100,Instruments,PI on service box for BG line on AD tank - Instruments,,,,,,,,Y,,Analog,,D-04,PI_41203A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG,0,,Pressure Indicator,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 1 - Pressure - Indicator - 41204A,C2NC-1300-100-PI_41204A,C2NC-1300-100,Instruments,PI on service box for BG line on AD tank - Instruments,,,,,,,,Y,,Analog,,D-04,PI_41204A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG,0,,Pressure Indicator,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 1 - Pressure - Indicator - 41205A,C2NC-1300-100-PI_41205A,C2NC-1300-100,Instruments,PI on service box for BG line on AD tank - Instruments,,,,,,,,Y,,Analog,,D-04,PI_41205A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG,0,,Pressure Indicator,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - Discharge - Pumps - Pressure - Indicator - 41206A,C2NC-1300-100-PI_41206A,C2NC-1300-100,Instruments,Pressure indicator prior to digestate waste pump - Instruments,,,,,,,,Y,,Analog,,D-10,PI_41206A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DGT,"1/2"" GAS-F",,Pressure Indicator,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - Discharge - Pumps - Pressure - Indicator - 41207A,C2NC-1300-100-PI_41207A,C2NC-1300-100,Instruments,Pressure indicator after digestate waste pump - Instruments,,,,,,,,Y,,Analog,,D-10,PI_41207A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DGT,"1/2"" GAS-F",,Pressure Indicator,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Pressure - Indicator - 44201A,C2NC-1300-100-PI_44201A,C2NC-1300-100,Instruments,Pressure indicator prior to FCON HX pump - Instruments,,,,,,,,Y,,Analog,,D-02,PI_44201A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,0,,Pressure Indicator,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Pressure - Indicator - 44202A,C2NC-1300-100-PI_44202A,C2NC-1300-100,Instruments,Pressure indicator after FCON HX pump - Instruments,,,,,,,,Y,,Analog,,D-02,PI_44202A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,0,,Pressure Indicator,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Pressure - Indicator - 44203A,C2NC-1300-100-PI_44203A,C2NC-1300-100,Instruments,Pressure indicator on HW supply for FCON HX - Instruments,,,,,,,,Y,,Analog,,D-02,PI_44203A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HW,0,,Pressure Indicator,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Pressure - Indicator - 44204A,C2NC-1300-100-PI_44204A,C2NC-1300-100,Instruments,PI on HW exiting FCON HX - Instruments,,,,,,,,Y,,Analog,,D-02,PI_44204A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HW,0,,Pressure Indicator,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Pressure - Indicator - 44205A,C2NC-1300-100-PI_44205A,C2NC-1300-100,Instruments,PI on DFS stream exiting FCON HX - Instruments,,,,,,,,Y,,Analog,,D-02,PI_44205A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFS,"FLANGED
DN 50 PN25/40",,Pressure Indicator,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 2 - Membrane - Blower - Check Valve - 01B,C2NC-1300-200-CV_41201B,C2NC-1300-200,Valves,Membrane Blower Check Valve,,,,,,,,,,,,D-05,CV_41201B,,,,,,,,,,,,,,,,,,,,,,AU,,8,,,Manual,Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 1 - Pressure - Indicating - Transmitter - 41201A,C2NC-1300-100-PIT_41201A,C2NC-1300-100,Instruments,PIT on combined BG line from service boxes exiting the AD tank - Instruments,,,,,,,,Y,,Analog,,D-04,PIT_41201A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG,0,,Pressure Indicating Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 1 - Pressure - Indicating - Transmitter - 41202A,C2NC-1300-100-PIT_41202A,C2NC-1300-100,Instruments,PIT in intermembrane space - Instruments,,,,,,,,Y,,Analog,,D-04,PIT_41202A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU,0,,Pressure Indicating Transmitter,,Analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
