FCON - Heat - Exchanger - #2,1100-HX,1100-HX-44201B,Equipment,1250kW duty heat exchanger,,
Substrate - Pump - to - Digester - #1,1300,1300-41201A,Equipment,Pump from FCON to AD #1,,
Substrate - Pump - to - Digester - #2,1300,1300-41201B,Equipment,Pump from FCON to AD #2,,
Substrate - Pump - to - Digester - #3,1300,1300-41201C,Equipment,Pump from FCON to AD #3,,
Anaerobic - Digester - #1,1300,1300-41201A,Equipment,"Bolted steel, insulated AD tank with gas holder cover",,
Digester - #1 - Blower - #1,1300,1300-41201A,Equipment,Blower to maintain pressure in gas holder cover,,
Digester - #1 - Blower - #2,1300,1300-41202A,Equipment,Blower to maintain pressure in gas holder cover,,
Digester - #1 - Mixer - #1,1300,1300-41201A,Equipment,PSM 940 Mixer,,
Digester - #1 - Mixer - #2,1300,1300-41202A,Equipment,PSM 940 Mixer,,
Digester - #1 - Mixer - #3,1300,1300-41203A,Equipment,PSM 1500 Mixer,,
Digester - #1 - Mixer - #4,1300,1300-41204A,Equipment,PSM 1500 Mixer,,
Digester - #1 - Mixer - #5,1300,1300-41205A,Equipment,PSM 1500 Mixer,,
Digester - #1 - Mixer - #6,1300,1300-41206A,Equipment,PSM 1500 Mixer,,
Digester - #1 - Mixer - #7,1300,1300-41207A,Equipment,PSM 1500 Mixer,,
Digester - #1 - Mixer - #8,1300,1300-41208A,Equipment,PSM 1500 Mixer,,
Digester - #1 - Mixer - #9,1300,1300-41209A,Equipment,PSM 1500 Mixer,,
Digester - #1 - Mixer - Auto-Positioner - #1,1300,1300-41201A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #2,1300,1300-41202A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #3,1300,1300-41203A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #4,1300,1300-41204A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #5,1300,1300-41205A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #6,1300,1300-41206A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #7,1300,1300-41207A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #8,1300,1300-41208A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #9,1300,1300-41209A,Equipment,,,
Digester - #1 - Mixer - Service - Box - #1,1300,1300-41201A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #2,1300,1300-41202A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #3,1300,1300-41203A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #4,1300,1300-41204A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #5,1300,1300-41205A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #6,1300,1300-41206A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #7,1300,1300-41207A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #8,1300,1300-41208A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #9,1300,1300-41209A,Equipment,Service Box Pro for membrane roof,,
Anaerobic - Digester - #2,1300,1300-41201B,Equipment,"Bolted steel, insulated AD tank with gas holder cover",,
Digester - #2 - Blower - #1,1300,1300-41201B,Equipment,Blower to maintain pressure in gas holder cover,,
Digester - #2 - Blower - #2,1300,1300-41202B,Equipment,Blower to maintain pressure in gas holder cover,,
Digester - #2 - Mixer - #1,1300,1300-41201B,Equipment,PSM 940 Mixer,,
Digester - #2 - Mixer - #2,1300,1300-41202B,Equipment,PSM 940 Mixer,,
Digester - #2 - Mixer - #3,1300,1300-41203B,Equipment,PSM 1500 Mixer,,
Digester - #2 - Mixer - #4,1300,1300-41204B,Equipment,PSM 1500 Mixer,,
Digester - #2 - Mixer - #5,1300,1300-41205B,Equipment,PSM 1500 Mixer,,
Digester - #2 - Mixer - #6,1300,1300-41206B,Equipment,PSM 1500 Mixer,,
Digester - #2 - Mixer - #7,1300,1300-41207B,Equipment,PSM 1500 Mixer,,
Digester - #2 - Mixer - #8,1300,1300-41208B,Equipment,PSM 1500 Mixer,,
Digester - #2 - Mixer - #9,1300,1300-41209B,Equipment,PSM 1500 Mixer,,
Digester - #2 - Mixer - Auto-Positioner - #1,1300,1300-41201B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #2,1300,1300-41202B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #3,1300,1300-41203B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #4,1300,1300-41204B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #5,1300,1300-41205B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #6,1300,1300-41206B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #7,1300,1300-41207B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #8,1300,1300-41208B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #9,1300,1300-41209B,Equipment,,,
Digester - #2 - Mixer - Service - Box - #1,1300,1300-41201B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #2,1300,1300-41202B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #3,1300,1300-41203B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #4,1300,1300-41204B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #5,1300,1300-41205B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #6,1300,1300-41206B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #7,1300,1300-41207B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #8,1300,1300-41208B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #9,1300,1300-41209B,Equipment,Service Box Pro for membrane roof,,
Anaerobic - Digester - #3,1300,1300-41201C,Equipment,"Bolted steel, insulated AD tank with gas holder cover",,
Digester - #3 - Blower - #1,1300,1300-41201C,Equipment,Blower to maintain pressure in gas holder cover,,
Digester - #3 - Blower - #2,1300,1300-41202C,Equipment,Blower to maintain pressure in gas holder cover,,
Digester - #3 - Mixer - #1,1300,1300-41201C,Equipment,PSM 940 Mixer,,
Digester - #3 - Mixer - #2,1300,1300-41202C,Equipment,PSM 940 Mixer,,
Digester - #3 - Mixer - #3,1300,1300-41203C,Equipment,PSM 1500 Mixer,,
Digester - #3 - Mixer - #4,1300,1300-41204C,Equipment,PSM 1500 Mixer,,
Digester - #3 - Mixer - #5,1300,1300-41205C,Equipment,PSM 1500 Mixer,,
Digester - #3 - Mixer - #6,1300,1300-41206C,Equipment,PSM 1500 Mixer,,
Digester - #3 - Mixer - #7,1300,1300-41207C,Equipment,PSM 1500 Mixer,,
Digester - #3 - Mixer - #8,1300,1300-41208C,Equipment,PSM 1500 Mixer,,
Digester - #3 - Mixer - #9,1300,1300-41209C,Equipment,PSM 1500 Mixer,,
Digester - #3 - Mixer - Auto-Positioner - #1,1300,1300-41201C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #2,1300,1300-41202C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #3,1300,1300-41203C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #4,1300,1300-41204C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #5,1300,1300-41205C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #6,1300,1300-41206C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #7,1300,1300-41207C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #8,1300,1300-41208C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #9,1300,1300-41209C,Equipment,,,
Digester - #3 - Mixer - Service - Box - #1,1300,1300-41201C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #2,1300,1300-41202C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #3,1300,1300-41203C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #4,1300,1300-41204C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #5,1300,1300-41205C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #6,1300,1300-41206C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #7,1300,1300-41207C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #8,1300,1300-41208C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #9,1300,1300-41209C,Equipment,Service Box Pro for membrane roof,,
Condensate - Trap,1300,1300-41202,Equipment,Condensate trap for combined biogas line from all tanks,,
Nutrient - Tote,1300-CHEM,1300-CHEM-31101,Equipment,Tank for micronutrients suitable for AD and FCON,,
Nutrient - Dosing - Pump,1300-CHEM,1300-CHEM-31101A,Equipment,Dosing pump for nutrient dosing skid,,
Nutrient - Dosing - Pump,1300-CHEM,1300-CHEM-31101B,Equipment,Dosing pump for nutrient dosing skid,,
Anti-Foam - Tote,1300-CHEM,1300-CHEM-31201,Equipment,Tank for anti-foam ,,
Anti-Foam - Dosing - Pump,1300-CHEM,1300-CHEM-31201A,Equipment,Dosing pump for anti-foam dosing skid,,
Anti-Foam - Dosing - Pump,1300-CHEM,1300-CHEM-31201B,Equipment,Dosing pump for anti-foam dosing skid,,
Digester - #1 - Heat - Exchanger - Pump,1300-HX,1300-HX-44101A,Equipment,,,
Digester - #1 - Hot - Water - Pump,1300-HX,1300-HX-44102A,Equipment,,,
Digester - #2 - Heat - Exchanger - Pump,1300-HX,1300-HX-44101B,Equipment,,,
Digester - #2 - Hot - Water - Pump,1300-HX,1300-HX-44102B,Equipment,,,
Digester - #3 - Heat - Exchanger - Pump,1300-HX,1300-HX-44101C,Equipment,,,
Digester - #3 - Hot - Water - Pump,1300-HX,1300-HX-44102C,Equipment,,,
Digestate - Heat - Exchanger - #1,1300-HX,1300-HX-44101A,Equipment,500kw AD heat exchanger,,
Digestate - Heat - Exchanger - #2,1300-HX,1300-HX-44101B,Equipment,500kw AD heat exchanger,,
Digestate - Heat - Exchanger - #3,1300-HX,1300-HX-44101C,Equipment,500kw AD heat exchanger,,
Digestate - Discharge - Pump - #1,1300,1300-41202A,Equipment,Pump to downstream dewatering,,
Digestate - Discharge - Pump - #2,1300,1300-41202B,Equipment,Pump to downstream dewatering,,
Digestate - Discharge - Pump - #3,1300,1300-41202C,Equipment,Pump to downstream dewatering,,
Membrane - Cover - for - Digester - #1,1300,1300-41201A,Equipment,Double Membrane Tank Cover,,
Membrane - Cover - for - Digester - #2,1300,1300-41201B,Equipment,Double Membrane Tank Cover,,
Membrane - Cover - for - Digester - #3,1300,1300-41201C,Equipment,Double Membrane Tank Cover,,
FROM AD EQ OUTPUT LIST 1,,,,,,
Name,Location,Code,Category,Description,Drawing Number,
FCON - Tank,1100,1100-21101,Equipment,"Bolted steel, insulated feed conditioning tank, fixed cover",,
FCON - Mixer - #1,1100,1100-21101,Equipment,PSM 940 Mixer,,
FCON - Mixer - #2,1100,1100-21102,Equipment,PSM 940 Mixer,,
FCON - Mixer - #3,1100,1100-21103,Equipment,PSM 940 Mixer,,
FCON - Mixer - #4,1100,1100-21104,Equipment,PSM 940 Mixer,,
FCON - Mixer - #5,1100,1100-21105,Equipment,PSM 940 Mixer,,
FCON - Mixer - #6,1100,1100-21106,Equipment,PSM 940 Mixer,,
FCON - Mixer - Auto-Positioner - #1,1100,1100-21101,Equipment,,,
FCON - Mixer - Auto-Positioner - #2,1100,1100-21102,Equipment,,,
FCON - Mixer - Auto-Positioner - #3,1100,1100-21103,Equipment,,,
FCON - Mixer - Auto-Positioner - #4,1100,1100-21104,Equipment,,,
FCON - Mixer - Auto-Positioner - #5,1100,1100-21105,Equipment,,,
FCON - Mixer - Auto-Positioner - #6,1100,1100-21106,Equipment,,,
FCON - Mixer - Service - Box - #1,1100,1100-21101,Equipment,Service Box Pro for fixed cover roof,,
FCON - Mixer - Service - Box - #2,1100,1100-21102,Equipment,Service Box Pro for fixed cover roof,,
FCON - Mixer - Service - Box - #3,1100,1100-21103,Equipment,Service Box Pro for fixed cover roof,,
FCON - Mixer - Service - Box - #4,1100,1100-21104,Equipment,Service Box Pro for fixed cover roof,,
FCON - Mixer - Service - Box - #5,1100,1100-21105,Equipment,Service Box Pro for fixed cover roof,,
FCON - Mixer - Service - Box - #6,1100,1100-21106,Equipment,Service Box Pro for fixed cover roof,,
FCON - Heat - Exchanger - Pump - #1 -  - ,1100-HX,1100-HX-44201A,Equipment,,,
FCON - Heat - Exchanger - Pump - #2 - ,1100-HX,1100-HX-44201B,Equipment,,,
Hot - Water - Pump - #3,1100-HX,1100-HX-44202A,Equipment,,,
Hot - Water - Pump - #4,1100-HX,1100-HX-44202B,Equipment,,,
FCON - Heat - Exchanger - #1,1100-HX,1100-HX-44201A,Equipment,1250kW duty heat exchanger,,
FCON - Heat - Exchanger - #2,1100-HX,1100-HX-44201B,Equipment,1250kW duty heat exchanger,,
Substrate - Pump - to - Digester - #1,1300,1300-41201A,Equipment,Pump from FCON to AD #1,,
Substrate - Pump - to - Digester - #2,1300,1300-41201B,Equipment,Pump from FCON to AD #2,,
Substrate - Pump - to - Digester - #3,1300,1300-41201C,Equipment,Pump from FCON to AD #3,,
Anaerobic - Digester - #1,1300,1300-41201A,Equipment,"Bolted steel, insulated AD tank with gas holder cover",,
Digester - #1 - Blower - #1,1300,1300-41201A,Equipment,Blower to maintain pressure in gas holder cover,,
Digester - #1 - Blower - #2,1300,1300-41202A,Equipment,Blower to maintain pressure in gas holder cover,,
Digester - #1 - Mixer - #1,1300,1300-41201A,Equipment,PSM 940 Mixer,,
Digester - #1 - Mixer - #2,1300,1300-41202A,Equipment,PSM 940 Mixer,,
Digester - #1 - Mixer - #3,1300,1300-41203A,Equipment,PSM 1500 Mixer,,
Digester - #1 - Mixer - #4,1300,1300-41204A,Equipment,PSM 1500 Mixer,,
Digester - #1 - Mixer - #5,1300,1300-41205A,Equipment,PSM 1500 Mixer,,
Digester - #1 - Mixer - #6,1300,1300-41206A,Equipment,PSM 1500 Mixer,,
Digester - #1 - Mixer - #7,1300,1300-41207A,Equipment,PSM 1500 Mixer,,
Digester - #1 - Mixer - #8,1300,1300-41208A,Equipment,PSM 1500 Mixer,,
Digester - #1 - Mixer - #9,1300,1300-41209A,Equipment,PSM 1500 Mixer,,
Digester - #1 - Mixer - Auto-Positioner - #1,1300,1300-41201A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #2,1300,1300-41202A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #3,1300,1300-41203A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #4,1300,1300-41204A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #5,1300,1300-41205A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #6,1300,1300-41206A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #7,1300,1300-41207A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #8,1300,1300-41208A,Equipment,,,
Digester - #1 - Mixer - Auto-Positioner - #9,1300,1300-41209A,Equipment,,,
Digester - #1 - Mixer - Service - Box - #1,1300,1300-41201A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #2,1300,1300-41202A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #3,1300,1300-41203A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #4,1300,1300-41204A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #5,1300,1300-41205A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #6,1300,1300-41206A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #7,1300,1300-41207A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #8,1300,1300-41208A,Equipment,Service Box Pro for membrane roof,,
Digester - #1 - Mixer - Service - Box - #9,1300,1300-41209A,Equipment,Service Box Pro for membrane roof,,
Anaerobic - Digester - #2,1300,1300-41201B,Equipment,"Bolted steel, insulated AD tank with gas holder cover",,
Digester - #2 - Blower - #1,1300,1300-41201B,Equipment,Blower to maintain pressure in gas holder cover,,
Digester - #2 - Blower - #2,1300,1300-41202B,Equipment,Blower to maintain pressure in gas holder cover,,
Digester - #2 - Mixer - #1,1300,1300-41201B,Equipment,PSM 940 Mixer,,
Digester - #2 - Mixer - #2,1300,1300-41202B,Equipment,PSM 940 Mixer,,
Digester - #2 - Mixer - #3,1300,1300-41203B,Equipment,PSM 1500 Mixer,,
Digester - #2 - Mixer - #4,1300,1300-41204B,Equipment,PSM 1500 Mixer,,
Digester - #2 - Mixer - #5,1300,1300-41205B,Equipment,PSM 1500 Mixer,,
Digester - #2 - Mixer - #6,1300,1300-41206B,Equipment,PSM 1500 Mixer,,
Digester - #2 - Mixer - #7,1300,1300-41207B,Equipment,PSM 1500 Mixer,,
Digester - #2 - Mixer - #8,1300,1300-41208B,Equipment,PSM 1500 Mixer,,
Digester - #2 - Mixer - #9,1300,1300-41209B,Equipment,PSM 1500 Mixer,,
Digester - #2 - Mixer - Auto-Positioner - #1,1300,1300-41201B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #2,1300,1300-41202B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #3,1300,1300-41203B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #4,1300,1300-41204B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #5,1300,1300-41205B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #6,1300,1300-41206B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #7,1300,1300-41207B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #8,1300,1300-41208B,Equipment,,,
Digester - #2 - Mixer - Auto-Positioner - #9,1300,1300-41209B,Equipment,,,
Digester - #2 - Mixer - Service - Box - #1,1300,1300-41201B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #2,1300,1300-41202B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #3,1300,1300-41203B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #4,1300,1300-41204B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #5,1300,1300-41205B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #6,1300,1300-41206B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #7,1300,1300-41207B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #8,1300,1300-41208B,Equipment,Service Box Pro for membrane roof,,
Digester - #2 - Mixer - Service - Box - #9,1300,1300-41209B,Equipment,Service Box Pro for membrane roof,,
Anaerobic - Digester - #3,1300,1300-41201C,Equipment,"Bolted steel, insulated AD tank with gas holder cover",,
Digester - #3 - Blower - #1,1300,1300-41201C,Equipment,Blower to maintain pressure in gas holder cover,,
Digester - #3 - Blower - #2,1300,1300-41202C,Equipment,Blower to maintain pressure in gas holder cover,,
Digester - #3 - Mixer - #1,1300,1300-41201C,Equipment,PSM 940 Mixer,,
Digester - #3 - Mixer - #2,1300,1300-41202C,Equipment,PSM 940 Mixer,,
Digester - #3 - Mixer - #3,1300,1300-41203C,Equipment,PSM 1500 Mixer,,
Digester - #3 - Mixer - #4,1300,1300-41204C,Equipment,PSM 1500 Mixer,,
Digester - #3 - Mixer - #5,1300,1300-41205C,Equipment,PSM 1500 Mixer,,
Digester - #3 - Mixer - #6,1300,1300-41206C,Equipment,PSM 1500 Mixer,,
Digester - #3 - Mixer - #7,1300,1300-41207C,Equipment,PSM 1500 Mixer,,
Digester - #3 - Mixer - #8,1300,1300-41208C,Equipment,PSM 1500 Mixer,,
Digester - #3 - Mixer - #9,1300,1300-41209C,Equipment,PSM 1500 Mixer,,
Digester - #3 - Mixer - Auto-Positioner - #1,1300,1300-41201C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #2,1300,1300-41202C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #3,1300,1300-41203C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #4,1300,1300-41204C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #5,1300,1300-41205C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #6,1300,1300-41206C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #7,1300,1300-41207C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #8,1300,1300-41208C,Equipment,,,
Digester - #3 - Mixer - Auto-Positioner - #9,1300,1300-41209C,Equipment,,,
Digester - #3 - Mixer - Service - Box - #1,1300,1300-41201C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #2,1300,1300-41202C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #3,1300,1300-41203C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #4,1300,1300-41204C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #5,1300,1300-41205C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #6,1300,1300-41206C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #7,1300,1300-41207C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #8,1300,1300-41208C,Equipment,Service Box Pro for membrane roof,,
Digester - #3 - Mixer - Service - Box - #9,1300,1300-41209C,Equipment,Service Box Pro for membrane roof,,
Condensate - Trap,1300,1300-41202,Equipment,Condensate trap for combined biogas line from all tanks,,
Nutrient - Tote,1300-CHEM,1300-CHEM-31101,Equipment,Tank for micronutrients suitable for AD and FCON,,
Nutrient - Dosing - Pump,1300-CHEM,1300-CHEM-31101A,Equipment,Dosing pump for nutrient dosing skid,,
Nutrient - Dosing - Pump,1300-CHEM,1300-CHEM-31101B,Equipment,Dosing pump for nutrient dosing skid,,
Anti-Foam - Tote,1300-CHEM,1300-CHEM-31201,Equipment,Tank for anti-foam ,,
Anti-Foam - Dosing - Pump,1300-CHEM,1300-CHEM-31201A,Equipment,Dosing pump for anti-foam dosing skid,,
Anti-Foam - Dosing - Pump,1300-CHEM,1300-CHEM-31201B,Equipment,Dosing pump for anti-foam dosing skid,,
Digester - #1 - Heat - Exchanger - Pump,1300-HX,1300-HX-44101A,Equipment,,,
Digester - #1 - Hot - Water - Pump,1300-HX,1300-HX-44102A,Equipment,,,
Digester - #2 - Heat - Exchanger - Pump,1300-HX,1300-HX-44101B,Equipment,,,
Digester - #2 - Hot - Water - Pump,1300-HX,1300-HX-44102B,Equipment,,,
Digester - #3 - Heat - Exchanger - Pump,1300-HX,1300-HX-44101C,Equipment,,,
Digester - #3 - Hot - Water - Pump,1300-HX,1300-HX-44102C,Equipment,,,
Digestate - Heat - Exchanger - #1,1300-HX,1300-HX-44101A,Equipment,500kw AD heat exchanger,,
Digestate - Heat - Exchanger - #2,1300-HX,1300-HX-44101B,Equipment,500kw AD heat exchanger,,
Digestate - Heat - Exchanger - #3,1300-HX,1300-HX-44101C,Equipment,500kw AD heat exchanger,,
Digestate - Discharge - Pump - #1,1300,1300-41202A,Equipment,Pump to downstream dewatering,,
Digestate - Discharge - Pump - #2,1300,1300-41202B,Equipment,Pump to downstream dewatering,,
Digestate - Discharge - Pump - #3,1300,1300-41202C,Equipment,Pump to downstream dewatering,,
Membrane - Cover - for - Digester - #1,1300,1300-41201A,Equipment,Double Membrane Tank Cover,,
Membrane - Cover - for - Digester - #2,1300,1300-41201B,Equipment,Double Membrane Tank Cover,,
Membrane - Cover - for - Digester - #3,1300,1300-41201C,Equipment,Double Membrane Tank Cover,,
from LOW INSTRUMENT OUTPUT,,,,,,
Name,Location,Code,Category,Description,Drawing Number,
F_Con - Level - High - High - Switch - 21101,1100,1100-LSHH211,Instrumentation,Level switch for FCON tank (at top) - Instrumentation,D-01,
F_Con - Temperature - Indicating - Transmitter - 21101,1100,1100-TIT211,Instrumentation,Temperature transmitter for FCON tank with thermowell - Instrumentation,D-01,
F_Con - Temperature - Indicating - Transmitter - 21101,1100,1100-TW211,Instrumentation,Thermowell - Instrumentation,D-01,
F_Con - Temperature - Indicating - Transmitter - 21102,1100,1100-TIT211,Instrumentation,Second temperature transmitter for FCON tank with thermowell - Instrumentation,D-01,
F_Con - Temperature - Indicating - Transmitter - 21102,1100,1100-TW211,Instrumentation,Thermowell - Instrumentation,D-01,
F_Con - Level - Sensor - 21102,1100,1100-LIT211,Instrumentation,Level sensor for FCON tank (ultrasonic) - Instrumentation,D-01,
F_Con - Pressure - Indicating - Transmitter - 21101,1100,1100-PIT211,Instrumentation,Pressure transmitter for biogas line from FCON - Instrumentation,D-01,
F_Con - Position - Switch - 31204,1100,1100-ZSO312,Instrumentation,Position switch open for antifoam solenoid - Instrumentation,D-01,
F_Con - Position - Switch - 31204,1100,1100-ZSC312,Instrumentation,Position switch close for antifoam solenoid - Instrumentation,D-01,
F_Con - Level - Indicating - Transmitter - 21101,1100,1100-LIT211,Instrumentation,Level transmitter for FCON tank (at bottom) - Instrumentation,D-01,
